algorithm,model_variant,population,feature_set,transformed_feature,coefficient,absolute_coefficient_rank,selection_reason
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1540.0,3.8401026594510217,4,top_positive
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1550.0,3.5723219836549167,8,top_positive
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1560.0,2.618581802565057,26,top_positive
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1610.0,-2.444037987426193,38,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1620.0,-2.6183486316201643,27,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1630.0,-2.689078220683608,24,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1640.0,-2.9372035572969275,20,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1650.0,-2.601623197334857,28,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1670.0,-2.447585952392971,37,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1680.0,-2.368110414426301,42,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1780.0,-2.3852568840750408,40,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1800.0,-2.3786257290250563,41,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1810.0,-2.5154396911624826,35,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1820.0,-2.564069810346455,32,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1870.0,-2.638466014903821,25,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1880.0,-3.476172660505219,12,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1890.0,-4.429196578227999,3,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1900.0,-4.456214977226826,2,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_1910.0,-2.8850741937366786,21,top_negative
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_260.0,2.522451453640505,34,top_positive
LogisticRegression,balanced,Global,M0b,categorical__safe_birth_decade_infrequent_sklearn,2.5240107709488004,33,top_positive
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_Choson,-6.713345478274018,1,top_negative
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_Korea,-3.328899536212974,11,top_negative
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_Koryo,-2.8564284757891065,26,top_negative
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_NanBei Chao,-3.5937401886103295,5,top_negative
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_Qing,3.3428311723501722,10,top_positive
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_Song,2.7377413951252603,30,top_positive
LogisticRegression,balanced,Global,M1,categorical__dynasty_name_Wu (Yang: 10 states),2.4398498139897384,44,top_positive
LogisticRegression,balanced,Global,M1,categorical__gender_female,-1.216957143500644,79,interpretable_term
LogisticRegression,balanced,Global,M1,categorical__gender_male,2.615262638371143,38,interpretable_term
LogisticRegression,balanced,Global,M1,categorical__gender_unknown,-2.3461442455815726,49,interpretable_term
LogisticRegression,balanced,Global,M1,categorical__safe_birth_decade_1420.0,3.1963706236220197,15,top_positive
