algorithm,model_variant,analysis,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score
LogisticRegression,balanced,temporal_sensitivity,Global,M0,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.43470444263693797,0.16298100537156807,0.5,0.0,0.0,0.0,0.5192566930138651,0.16677656893094042
LogisticRegression,balanced,temporal_sensitivity,Global,M0,temporal,test,validation_balanced_accuracy,0.01,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.43470444263693797,0.16298100537156807,0.5001353912808015,0.2992977794647941,0.17598482312241936,1.0,0.5192566930138651,0.16677656893094042
LogisticRegression,balanced,temporal_sensitivity,Global,M0b,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.43470444263693797,0.16298100537156807,0.5,0.0,0.0,0.0,0.539421510343201,0.17549899212412146
LogisticRegression,balanced,temporal_sensitivity,Global,M0b,temporal,test,validation_balanced_accuracy,0.01,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.43470444263693797,0.16298100537156807,0.5001353912808015,0.2992977794647941,0.17598482312241936,1.0,0.539421510343201,0.17549899212412146
LogisticRegression,balanced,temporal_sensitivity,Global,M1,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.4412484690139411,0.1647093746106959,0.5,0.0,0.0,0.0,0.5452903973086559,0.17913715401378616
LogisticRegression,balanced,temporal_sensitivity,Global,M1,temporal,test,validation_balanced_accuracy,0.12,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.4412484690139411,0.1647093746106959,0.5059786368527682,0.30174229370093814,0.17769759837636712,0.9993658845909955,0.5452903973086559,0.17913715401378616
LogisticRegression,balanced,temporal_sensitivity,Global,M2,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.5683804094912293,0.20578882150574,0.510929261532856,0.11759172154280338,0.22768670309653916,0.07926442612555486,0.49918484323384177,0.16108589243233817
LogisticRegression,balanced,temporal_sensitivity,Global,M2,temporal,test,validation_balanced_accuracy,0.27,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.5683804094912293,0.20578882150574,0.5559431706903719,0.3015993907083016,0.21551020408163266,0.5022194039315155,0.49918484323384177,0.16108589243233817
LogisticRegression,balanced,temporal_sensitivity,Global,M3,temporal,test,fixed_0.5,0.5,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.698623516254938,0.38106399851424644,0.5767228991213904,0.2745292368681863,0.6281179138321995,0.17564996829422955,0.4263236923485533,0.13026781506964688
LogisticRegression,balanced,temporal_sensitivity,Global,M3,temporal,test,validation_balanced_accuracy,0.28,41937,8951,8963,0.4869447027684384,0.2746061892525975,0.17594555394399197,,0.698623516254938,0.38106399851424644,0.616646671340542,0.37100371747211897,0.44833782569631625,0.31642358909321494,0.4263236923485533,0.13026781506964688
