algorithm,population,baseline_feature_set,extension_feature_set,feature_block,comparison_type,split_protocol,evaluation_split,n_test,baseline_roc_auc,extension_roc_auc,delta_roc_auc,baseline_pr_auc,extension_pr_auc,delta_pr_auc,baseline_log_loss,extension_log_loss,delta_log_loss,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_pr_auc_ci_low,delta_pr_auc_ci_high,delta_log_loss_ci_low,delta_log_loss_ci_high,bootstrap_resamples
CatBoost,Global,M0,M5,documentation_only,benchmark,primary,test,99307,0.7397078653570248,0.8518772910188245,0.11216942566179966,0.5062324195327685,0.6818061948931599,0.17557377536039132,0.5840312594705276,0.45787179934665784,-0.12615946012386975,0.10895808493274597,0.11494107893683753,0.17160305986981672,0.17922370446860994,-0.12942162644083632,-0.12262985799829129,500
CatBoost,Global,M4,M6,documentation_addition,nested,primary,test,99307,0.9293126540993712,0.937449963274869,0.008137309175497709,0.8685906769398187,0.8830972880451842,0.014506611105365441,0.3331596113572059,0.3139990843073898,-0.01916052704981608,0.007562584663632801,0.00868238411552621,0.013236710282468903,0.015648883223151586,-0.020278884225845357,-0.017964147388747156,500
CatBoost,Ming,M0,M5,documentation_only,benchmark,primary,test,33812,0.5,0.7978170511334293,0.29781705113342927,0.19927836271146337,0.5327161655973157,0.33343780288585234,0.49940039367614536,0.49693540641665995,-0.002464987259485407,0.292308003305497,0.3030601254615797,0.3231393045024495,0.34348746398785185,-0.007372907578344779,0.0023336288618235846,500
CatBoost,Ming,M4,M6,documentation_addition,nested,primary,test,33812,0.9123678251265788,0.9170144130551858,0.00464658792860706,0.793525939968536,0.8015169579763533,0.007991018007817208,0.3311809044074465,0.3219158050897358,-0.009265099317710745,0.0035543984054081713,0.005768055847639835,0.006269301484954667,0.009701350013532683,-0.010614448483244143,-0.00796619567692488,500
CatBoost,Song,M0,M5,documentation_only,benchmark,primary,test,12508,0.5,0.9150491247344867,0.41504912473448674,0.48273105212663897,0.8971840465657248,0.41445299443908584,0.6925506288244837,0.3962996886468118,-0.2962509401776719,0.41029986540677715,0.4197636532895985,0.40852150359857503,0.42015044678546926,-0.3024797174245617,-0.28997935253392565,500
CatBoost,Song,M4,M6,documentation_addition,nested,primary,test,12508,0.9185493676575915,0.9396095593441436,0.021060191686552043,0.9117028447079614,0.9412052728371534,0.029502428129192015,0.3578780719372017,0.3052998502331488,-0.05257822170405291,0.018631466195803793,0.02360010409344625,0.025819255996841158,0.03330395207618136,-0.058071373541159474,-0.046956995293205364,500
LogisticRegression,Global,M0,M5,documentation_only,benchmark,primary,test,99307,0.7398182250893919,0.8228903722789571,0.08307214718956524,0.5064089578613011,0.6285875571398801,0.12217859927857899,0.5842358735221792,0.49647694114026025,-0.08775893238191895,0.07999966655557676,0.08625580956597242,0.11856013844187997,0.12586179952444618,-0.09095670906442763,-0.08427325192753139,500
LogisticRegression,Global,M4,M6,documentation_addition,nested,primary,test,99307,0.9137733618084741,0.9160384610622774,0.002265099253803249,0.8444805392060197,0.8435958925187247,-0.0008846466872950431,0.368023398368238,0.363532382799033,-0.0044910155692050036,0.0018862258564244978,0.0026374894814013726,-0.0018503222929850624,4.925273386840859e-05,-0.00516893752327312,-0.003880107656859194,500
LogisticRegression,Ming,M0,M5,documentation_only,benchmark,primary,test,33812,0.5,0.7819152878340779,0.28191528783407793,0.19927836271146337,0.4535896295188804,0.254311266807417,0.6931471805599452,0.5418473587681989,-0.15129982179174628,0.27628286582295153,0.28743491098942286,0.2434703035025264,0.2638830741655814,-0.15652029947518484,-0.14509402209544128,500
LogisticRegression,Ming,M4,M6,documentation_addition,nested,primary,test,33812,0.8978349039876263,0.9020575661139407,0.0042226621263143915,0.7726812762050066,0.776509717638805,0.0038284414337984574,0.35621068984915133,0.3499562107456301,-0.006254479103521227,0.002994824925268311,0.0054188361792980345,0.00200331134973836,0.005567442587352935,-0.0078551557064955,-0.004878082543452498,500
LogisticRegression,Song,M0,M5,documentation_only,benchmark,primary,test,12508,0.5,0.8592685275583335,0.3592685275583335,0.48273105212663897,0.8087579692973633,0.32602691717072435,0.6931471805599451,0.4576470498464496,-0.23550013071349546,0.3520777950363822,0.3658737997192434,0.317543039550632,0.33412480299513597,-0.24572412973342692,-0.22571875667977293,500
LogisticRegression,Song,M4,M6,documentation_addition,nested,primary,test,12508,0.8973276282667271,0.9007690602485137,0.0034414319817865913,0.8728365881697275,0.8809945821362193,0.00815799396649175,0.40432550006812773,0.39845751724730527,-0.005867982820822459,0.002093435931014978,0.004911351945151151,0.005216726087283944,0.011031852517545118,-0.008266840108255761,-0.0034686967207111174,500
