algorithm,model_variant,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score,selection_validation_roc_auc,selection_validation_log_loss
CatBoost,balanced,Global,M3,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,499.0,0.9286572920536603,0.8677222381994363,0.8611869383928317,0.8102846969895956,0.7848480565371024,0.8374253483742535,0.3348606207695473,0.10354975956677884,0.9293885464668882,0.3344725918591629
CatBoost,balanced,Global,M3,primary,test,validation_balanced_accuracy,0.46,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,499.0,0.9286572920536603,0.8677222381994363,0.8601645233743829,0.8070352192748889,0.7718100481761871,0.8456294866381131,0.3348606207695473,0.10354975956677884,0.9293885464668882,0.3344725918591629
CatBoost,balanced,Global,M4,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,498.0,0.9293126540993712,0.8685906769398187,0.8622436073541984,0.8116762752681894,0.7863465399734171,0.838692163841467,0.3331596113572059,0.10296145667496548,0.93022825154633,0.3322448352441471
CatBoost,balanced,Global,M4,primary,test,validation_balanced_accuracy,0.46,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,498.0,0.9293126540993712,0.8685906769398187,0.8616149980085914,0.8091481967496792,0.7751775205150168,0.846232732098691,0.3331596113572059,0.10296145667496548,0.93022825154633,0.3322448352441471
CatBoost,balanced,Global,M5,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,146.0,0.8518772910188245,0.6818061948931599,0.8079848926027524,0.7390747491238687,0.69282528960076,0.7919406406466791,0.45787179934665784,0.14711339809106502,0.8519727688586746,0.4574501122356758
CatBoost,balanced,Global,M5,primary,test,validation_balanced_accuracy,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,146.0,0.8518772910188245,0.6818061948931599,0.8079848926027524,0.7390747491238687,0.69282528960076,0.7919406406466791,0.45787179934665784,0.14711339809106502,0.8519727688586746,0.4574501122356758
CatBoost,balanced,Global,M6,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,499.0,0.937449963274869,0.8830972880451842,0.8695204183815717,0.8214447712274849,0.7976924607121544,0.8466550039210955,0.3139990843073898,0.09704768869917149,0.937861661098586,0.3141155168105463
CatBoost,balanced,Global,M6,primary,test,validation_balanced_accuracy,0.53,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,499.0,0.937449963274869,0.8830972880451842,0.8689453953667949,0.8218608559760574,0.8038356164383562,0.8407130361344031,0.3139990843073898,0.09704768869917149,0.937861661098586,0.3141155168105463
CatBoost,constant_unweighted,Song,M0,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,,0.5,0.48273105212663897,0.5,0.0,0.0,0.0,0.6925506288244837,0.2497017834493094,0.5,0.6925531060161061
CatBoost,constant_unweighted,Song,M0,primary,test,validation_balanced_accuracy,0.0,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,,0.5,0.48273105212663897,0.5,0.6511377116359323,0.48273105212663897,1.0,0.6925506288244837,0.2497017834493094,0.5,0.6925531060161061
CatBoost,balanced,Song,M0b,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,67.0,0.526373629045924,0.50696708158673,0.5261592346872691,0.17473774967667768,0.6601520086862106,0.10069559456773766,0.6871383425496189,0.24713648214910894,0.5302247406710361,0.6849314822858148
CatBoost,balanced,Song,M0b,primary,test,validation_balanced_accuracy,0.5700000000000001,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,67.0,0.526373629045924,0.50696708158673,0.5262254561911602,0.1742881794650561,0.6615720524017468,0.10036435905929116,0.6871383425496189,0.24713648214910894,0.5302247406710361,0.6849314822858148
CatBoost,unweighted,Song,M1,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,66.0,0.569203775368058,0.5319542640985114,0.5262969508414764,0.16741621935296677,0.6748538011695906,0.09556144418681682,0.6583187773392429,0.23590814445326044,0.5740277385518636,0.653554382533609
CatBoost,unweighted,Song,M1,primary,test,validation_balanced_accuracy,0.47000000000000003,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,66.0,0.569203775368058,0.5319542640985114,0.5465717892809733,0.6718881118881119,0.5073075948297711,0.9945346141106327,0.6583187773392429,0.23590814445326044,0.5740277385518636,0.653554382533609
CatBoost,unweighted,Song,M2,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,276.0,0.8719199833307139,0.8466230223909261,0.7982976952254475,0.8030583873957368,0.7523878437047757,0.8610467042066909,0.44046918450332484,0.14212696099859104,0.872409629896201,0.4362752972279995
CatBoost,unweighted,Song,M2,primary,test,validation_balanced_accuracy,0.42000000000000004,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,276.0,0.8719199833307139,0.8466230223909261,0.793745766764126,0.805165887330216,0.7295225285810356,0.8983106989069228,0.44046918450332484,0.14212696099859104,0.872409629896201,0.4362752972279995
CatBoost,balanced,Song,M3,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,496.0,0.91636355887212,0.9090734989188977,0.8471319458985416,0.8419135904651548,0.8414956982131039,0.8423318979794634,0.3634397467829549,0.11219933197123363,0.9182581076763381,0.3587606492831281
CatBoost,balanced,Song,M3,primary,test,validation_balanced_accuracy,0.46,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,496.0,0.91636355887212,0.9090734989188977,0.8469008745743727,0.8434619463251488,0.8310561003054171,0.8562437893342166,0.3634397467829549,0.11219933197123363,0.9182581076763381,0.3587606492831281
CatBoost,unweighted,Song,M4,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.48276689324270294,0.48273105212663897,488.0,0.9185493676575915,0.9117028447079614,0.8509960615227721,0.8457010198159357,0.8467541092478831,0.844650546538589,0.3578780719372017,0.1098422708512462,0.92100827109346,0.35157739253391906
