algorithm,model_variant,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score,selection_validation_roc_auc,selection_validation_log_loss
LogisticRegression,balanced,Global,M3,primary,test,validation_balanced_accuracy,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9131125806026938,0.8437308621872193,0.8447855377763851,0.7875828291558629,0.7537914299895219,0.8245460577909152,0.3692303725188188,0.1145705807040883,,
LogisticRegression,unweighted_diagnostic,Global,M3,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9129337293985892,0.8463842853819401,0.8405411207986236,0.7895608439646712,0.8030066745680244,0.7765578814019425,0.3433959675843768,0.1054624891158861,,
LogisticRegression,balanced,Global,M4,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9137733618084742,0.8444805392060197,0.8451408455500661,0.7881269191402251,0.7548394223069064,0.8244857332448573,0.3680233983682379,0.1141401971827858,,
LogisticRegression,balanced,Global,M4,primary,test,validation_balanced_accuracy,0.49,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9137733618084742,0.8444805392060197,0.8451906436438479,0.7877456049638056,0.7519330956950918,0.8271400132714002,0.3680233983682379,0.1141401971827858,,
LogisticRegression,unweighted_diagnostic,Global,M4,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9136027158296116,0.8472726219800617,0.8415136597563251,0.7907254544619201,0.8031608748405563,0.7786692405139651,0.3422305134330198,0.1050442594209966,,
LogisticRegression,balanced,Global,M5,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.8228903722789571,0.6285875571398801,0.7900207184764231,0.717880031684309,0.6869435792839227,0.7517343306991615,0.4964769411402602,0.1618718110777409,,
LogisticRegression,balanced,Global,M5,primary,test,validation_balanced_accuracy,0.41,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.8228903722789571,0.6285875571398801,0.8042467313199935,0.7319068255687974,0.6641596618001278,0.8150449417868131,0.4964769411402602,0.1618718110777409,,
LogisticRegression,unweighted_diagnostic,Global,M5,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.823237246853812,0.6297788666717528,0.77217709108207,0.696093459334772,0.6870244704914662,0.7054050793267781,0.4595588959283087,0.1502760612185167,,
LogisticRegression,balanced,Global,M6,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9160384610622774,0.8435958925187246,0.8485440623436041,0.7924250940377882,0.7587558303204262,0.829221210110394,0.363532382799033,0.1128206675327005,,
LogisticRegression,balanced,Global,M6,primary,test,validation_balanced_accuracy,0.53,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9160384610622774,0.8435958925187246,0.8487857175344682,0.7939242274340919,0.7668784080049469,0.8229474573203837,0.363532382799033,0.1128206675327005,,
LogisticRegression,unweighted_diagnostic,Global,M6,primary,test,fixed_0.5,0.5,462710,99107,99307,0.3336992932938558,0.3336494899452107,0.3338536054860181,,0.9159899268540465,0.847797383168091,0.8444472764994878,0.7943723935658311,0.804760283512334,0.7842492610243108,0.3379630201687755,0.1038125710089032,,
LogisticRegression,balanced,Song,M0,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.5,0.4827310521266389,0.5,0.6511377116359323,0.4827310521266389,1.0,0.6931471805599452,0.25,,
LogisticRegression,balanced,Song,M0,primary,test,validation_balanced_accuracy,0.0,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.5,0.4827310521266389,0.5,0.6511377116359323,0.4827310521266389,1.0,0.6931471805599452,0.25,,
LogisticRegression,unweighted_diagnostic,Song,M0,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.5,0.4827310521266389,0.5,0.0,0.0,0.0,0.6925506288209177,0.2497017834475286,,
LogisticRegression,balanced,Song,M0b,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.527043203451812,0.508076002753328,0.5263800156965699,0.1743383199079401,0.6630196936542669,0.1003643590592911,0.6874031672971124,0.2472288649078732,,
LogisticRegression,balanced,Song,M0b,primary,test,validation_balanced_accuracy,0.49,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.527043203451812,0.508076002753328,0.5263800156965699,0.1743383199079401,0.6630196936542669,0.1003643590592911,0.6874031672971124,0.2472288649078732,,
LogisticRegression,unweighted_diagnostic,Song,M0b,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.527043203451812,0.508076002753328,0.526341311825722,0.1726722398385702,0.6655555555555556,0.0992050347797283,0.6868054766960446,0.2469534033974821,,
LogisticRegression,balanced,Song,M1,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.5702053788141358,0.5320182133317376,0.5474380699669738,0.6709779002418038,0.507960834397616,0.9880755216959258,0.6628888578794497,0.2372437633790176,,
LogisticRegression,balanced,Song,M1,primary,test,validation_balanced_accuracy,0.09,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.5702053788141358,0.5320182133317376,0.5468092856524853,0.6725129866502821,0.5073746312684366,0.9970188804239816,0.6628888578794497,0.2372437633790176,,
LogisticRegression,unweighted_diagnostic,Song,M1,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.5702101656023955,0.5321193572374284,0.526633459496348,0.1619646250548165,0.6899128268991283,0.091752235839682,0.6621886310418349,0.2369808650568167,,
LogisticRegression,balanced,Song,M2,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8679491504858717,0.8333329756735396,0.796873740908302,0.8024900092222563,0.7486377975336966,0.8646902947996025,0.4482844107288554,0.1443017227349589,,
LogisticRegression,balanced,Song,M2,primary,test,validation_balanced_accuracy,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8679491504858717,0.8333329756735396,0.796873740908302,0.8024900092222563,0.7486377975336966,0.8646902947996025,0.4482844107288554,0.1443017227349589,,
LogisticRegression,unweighted_diagnostic,Song,M2,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8679739035567117,0.8337006297728972,0.7960895011654678,0.8007114685639162,0.7510517916727114,0.8574031136137794,0.4475902122242207,0.144033803322227,,
LogisticRegression,balanced,Song,M3,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8952404221998441,0.8705744176225934,0.8251738218485398,0.8235199614426861,0.7995632506629231,0.8489566081483935,0.4090631695654084,0.127501196456125,,
LogisticRegression,balanced,Song,M3,primary,test,validation_balanced_accuracy,0.63,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8952404221998441,0.8705744176225934,0.8225423425978591,0.8100828729281767,0.8460151460512081,0.7770785028155018,0.4090631695654084,0.127501196456125,,
LogisticRegression,unweighted_diagnostic,Song,M3,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8952841944347316,0.8709558580084187,0.825460440394759,0.822672064777328,0.8048162230671736,0.8413381914541239,0.4083962341503809,0.1271769312443844,,
LogisticRegression,balanced,Song,M4,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8973276282667271,0.8728365881697275,0.8279286312908509,0.8267413931144916,0.8002169869807811,0.8550844650546539,0.4043255000681277,0.1252021633897702,,
LogisticRegression,balanced,Song,M4,primary,test,validation_balanced_accuracy,0.5700000000000001,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8973276282667271,0.8728365881697275,0.8305210483015093,0.8238820884336747,0.8285044381175682,0.8193110301424312,0.4043255000681277,0.1252021633897702,,
LogisticRegression,unweighted_diagnostic,Song,M4,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8973549923129812,0.87332304944714,0.8301030106594351,0.8273684210526316,0.8094106463878327,0.8461411063265982,0.403626396946289,0.1248603053822633,,
LogisticRegression,balanced,Song,M5,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8592685275583335,0.8087579692973633,0.8018177252465453,0.8009270358826821,0.7738996138996139,0.8299105664127194,0.4576470498464496,0.1443043527456707,,
LogisticRegression,balanced,Song,M5,primary,test,validation_balanced_accuracy,0.45,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8592685275583335,0.8087579692973633,0.8262100719144543,0.8340202322967404,0.7615984672232107,0.9216628022524016,0.4576470498464496,0.1443043527456707,,
LogisticRegression,unweighted_diagnostic,Song,M5,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.8592685275583335,0.8087579692973633,0.8018177252465453,0.8009270358826821,0.7738996138996139,0.8299105664127194,0.457018943892085,0.1442046505113968,,
LogisticRegression,balanced,Song,M6,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.9007690602485136,0.8809945821362193,0.8333272837203636,0.8316593009240658,0.8077103168409552,0.8570718781053329,0.3984575172473052,0.1223207350711048,,
LogisticRegression,balanced,Song,M6,primary,test,validation_balanced_accuracy,0.53,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.9007690602485136,0.8809945821362193,0.834242686581071,0.8301979388189105,0.8201357466063348,0.8405101026830076,0.3984575172473052,0.1223207350711048,,
LogisticRegression,unweighted_diagnostic,Song,M6,primary,test,fixed_0.5,0.5,58360,12505,12508,0.4827278958190541,0.4827668932427029,0.4827310521266389,,0.9009827506677186,0.8819336307622693,0.833464615907598,0.8301334201106411,0.8157978893508154,0.8449817820470354,0.3977588803590868,0.1219143522743297,,
LogisticRegression,balanced,Ming,M0,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.5,0.1992783627114633,0.5,0.3323304562268804,0.1992783627114633,1.0,0.6931471805599453,0.25,,
LogisticRegression,balanced,Ming,M0,primary,test,validation_balanced_accuracy,0.0,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.5,0.1992783627114633,0.5,0.3323304562268804,0.1992783627114633,1.0,0.6931471805599453,0.25,,
LogisticRegression,unweighted_diagnostic,Ming,M0,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.5,0.1992783627114633,0.5,0.0,0.0,0.0,0.4994003934871073,0.1595664970260031,,
LogisticRegression,balanced,Ming,M0b,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.6354331590958789,0.4071544403376419,0.6347600180177442,0.4237020316027088,0.8845428840716305,0.2785693084001187,0.5802667749523883,0.1945936673647032,,
LogisticRegression,balanced,Ming,M0b,primary,test,validation_balanced_accuracy,0.43,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.6354331590958789,0.4071544403376419,0.6347603524024488,0.4236886632825719,0.8829337094499294,0.2787177203918076,0.5802667749523883,0.1945936673647032,,
LogisticRegression,unweighted_diagnostic,Ming,M0b,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.6354298316939822,0.4070853164699191,0.6349964225221978,0.4244767970882621,0.9084712755598832,0.2769367764915405,0.4200458946905965,0.1268479343381147,,
LogisticRegression,balanced,Ming,M1,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.7160004950428509,0.4383333856575643,0.6346485418316252,0.4234417344173441,0.8852691218130312,0.2782724844167408,0.5351498558056228,0.1882579570307134,,
LogisticRegression,balanced,Ming,M1,primary,test,validation_balanced_accuracy,0.49,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.7160004950428509,0.4383333856575643,0.6346485418316252,0.4234417344173441,0.8852691218130312,0.2782724844167408,0.5351498558056228,0.1882579570307134,,
LogisticRegression,unweighted_diagnostic,Ming,M1,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.7160005114880004,0.4383335141021994,0.6348664784332938,0.4241665718511776,0.908824963432472,0.2766399525081626,0.3877564894385665,0.1216930268855289,,
LogisticRegression,balanced,Ming,M2,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.8156845223275027,0.6710001117458189,0.734090343028933,0.5724573780129336,0.5669577874818049,0.5780647076283764,0.4396894224288999,0.1447026116075511,,
LogisticRegression,balanced,Ming,M2,primary,test,validation_balanced_accuracy,0.51,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.8156845223275027,0.6710001117458189,0.7331398627286103,0.5755677959707236,0.5854182655410591,0.5660433363015732,0.4396894224288999,0.1447026116075511,,
LogisticRegression,unweighted_diagnostic,Ming,M2,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.8155081316549545,0.6724029373190928,0.7171256639427579,0.6001007556675063,0.9344210856604958,0.4419709112496289,0.3251516758666344,0.0978111678112167,,
LogisticRegression,balanced,Ming,M3,primary,test,fixed_0.5,0.5,157781,33810,33812,0.1992635361672191,0.1992605737947352,0.1992783627114633,,0.8974794941594834,0.7720357091391514,0.8010927988159844,0.6972189580885232,0.7383441181350588,0.6604333630157316,0.3567367841556276,0.1130040636756442,,
