population,model_id,quantity,recomputed,reported,status,source
Ming,H_STRUCT,roc_auc,0.9106566716995401,0.91065667169954,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,pr_auc,0.7799086087786353,0.7799086087786353,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,log_loss,0.34630842270588896,0.3463084227058889,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,brier_score,0.10965980967913111,0.1096598096791311,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,raw_ece,0.14170891647423228,0.1417089164742322,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,calibrated_ece,0.0028778323069544526,0.0028778323069544,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,calibrated_log_loss,0.25683191269807815,0.2568319126980781,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,calibrated_brier,0.07688976451362407,0.076889764513624,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,prevalence,0.19927836271146337,0.1992783627114633,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Ming,H_STRUCT,n_test,33812.0,33812.0,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,roc_auc,0.9383512355801203,0.9383512355801203,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,pr_auc,0.9398376881493025,0.9398376881493024,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,log_loss,0.30888974825240006,0.3088897482524,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,brier_score,0.0939856205836762,0.0939856205836762,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,raw_ece,0.011698731807764448,0.0116987318077644,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,calibrated_ece,0.009439470028029908,0.0094394700280299,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,calibrated_log_loss,0.3084517683455308,0.3084517683455308,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,calibrated_brier,0.09376857858727107,0.093768578587271,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,prevalence,0.48273105212663897,0.4827310521266389,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D5_MAIN,n_test,12508.0,12508.0,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,roc_auc,0.9397977031607649,0.9397977031607648,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,pr_auc,0.9411947278513785,0.9411947278513784,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,log_loss,0.3054518119235456,0.3054518119235456,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,brier_score,0.09279901508714056,0.0927990150871405,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,raw_ece,0.01316130107682238,0.0131613010768223,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,calibrated_ece,0.010154334506231759,0.0101543345062317,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,calibrated_log_loss,0.3049796256474383,0.3049796256474383,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,calibrated_brier,0.09257676184070328,0.0925767618407032,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,prevalence,0.48273105212663897,0.4827310521266389,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,D6_UPPER,n_test,12508.0,12508.0,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,roc_auc,0.9183498072229818,0.9183498072229818,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,pr_auc,0.911649626636581,0.911649626636581,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,log_loss,0.3603957192541899,0.3603957192541899,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,brier_score,0.11119909447117562,0.1111990944711756,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,raw_ece,0.011957969270995262,0.0119579692709952,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,calibrated_ece,0.007190653961716628,0.0071906539617166,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,calibrated_log_loss,0.3599193294564578,0.3599193294564578,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,calibrated_brier,0.11098184204828344,0.1109818420482834,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,prevalence,0.48273105212663897,0.4827310521266389,PASS,data/phase2_6/predictions/final_model_predictions.parquet
Song,H_STRUCT,n_test,12508.0,12508.0,PASS,data/phase2_6/predictions/final_model_predictions.parquet
