population,model_id,raw_ece,calibrated_ece,raw_probability_bias,calibrated_probability_bias,raw_brier,calibrated_brier,raw_log_loss,calibrated_log_loss,sigmoid_coefficient,sigmoid_intercept
Global,H_STRUCT,0.06902359128606127,0.0036436302634575406,0.06902359128606123,-0.0006912577783500518,0.10481583264815596,0.09750412711420918,0.33929771050663116,0.3159615105140903,1.0141131399756491,-0.6957797613443966
Global,D5_MAIN,0.06509715327108614,0.003438282275425543,0.06509715327108623,-0.0010391863077321428,0.0973562808138932,0.09039162221883588,0.3151056907565584,0.2930539126252224,1.0234178745301201,-0.7046655445545176
Global,D6_UPPER,0.06462846968222302,0.0033980943272139416,0.06462846968222308,-0.0010214905980402977,0.0969377870247619,0.09001543190568305,0.3139500080736194,0.2920680755488601,1.0225930998903359,-0.7043770215795443
Song,H_STRUCT,0.011957969270995262,0.007190653961716628,0.010543069766032476,0.001713953522321232,0.11119909447117562,0.11098184204828344,0.3603957192541899,0.3599193294564578,0.9962086659760999,-0.07930826632336721
Song,D5_MAIN,0.011698731807764448,0.009439470028029908,0.00908968355231271,-0.0005952757316162183,0.0939856205836762,0.09376857858727107,0.30888974825240006,0.3084517683455308,0.996764536571632,-0.10374527826777528
Song,D6_UPPER,0.01316130107682238,0.010154334506231759,0.009497960760227186,0.00011395224476279386,0.09279901508714056,0.09257676184070328,0.3054518119235456,0.3049796256474383,1.0084544592170381,-0.09920432778533068
Ming,H_STRUCT,0.14170891647423228,0.0028778323069544526,0.14170891647423228,8.439986749789186e-05,0.10965980967913111,0.07688976451362407,0.34630842270588896,0.25683191269807815,1.0281570033660068,-1.377242534476035
Ming,D5_MAIN,0.13569870804938663,0.002736093707330905,0.13569870804938672,0.00038476123185876565,0.10257217948540219,0.07117051531904661,0.3229472636731736,0.2386066690839538,1.049389982648144,-1.3590691565413389
Ming,D6_UPPER,0.13572924562712127,0.0025127903017441084,0.1357292456271213,0.00031264696212343623,0.1023111585634168,0.0709618746948882,0.3224005291165286,0.2380408233429516,1.0523070314156875,-1.359873833163064
