population,model_id,support_definition,matched_random_roc_auc,matched_spatial_roc_auc,delta_spatial_minus_random_roc_auc,matched_random_pr_auc,matched_spatial_pr_auc,delta_spatial_minus_random_pr_auc,random_roc_ci_lower,random_roc_ci_upper,spatial_roc_ci_lower,spatial_roc_ci_upper,random_pr_ci_lower,random_pr_ci_upper,spatial_pr_ci_lower,spatial_pr_ci_upper,paired_individual_bootstrap_used,interpretation
Global,D5_MAIN,identical reliable historical-prefecture population,0.9197477389536568,0.8975711095659675,-0.022176629387689273,0.9149042485356076,0.879051501780591,-0.035852746755016596,0.9176230912679771,0.9218041826806066,0.8948783161872014,0.8999718620957305,0.9124390376247626,0.9171395165407366,0.8760366809095322,0.8822765126320221,False,matched-support spatial distribution-shift sensitivity
Global,H_STRUCT,identical reliable historical-prefecture population,0.9031527125717267,0.8724387170037653,-0.030713995567961394,0.8917178567592,0.8312907280180819,-0.06042712874111811,0.9005542149065874,0.9055545147098057,0.8696192913532902,0.875204980569452,0.8885038138561657,0.894612000667205,0.8274295815953152,0.834848877040735,False,matched-support spatial distribution-shift sensitivity
Ming,D5_MAIN,identical reliable historical-prefecture population,0.9391154010382381,0.9326919543738448,-0.0064234466643933175,0.9263141356095286,0.9207400473082086,-0.0055740883013200015,0.9348318515409755,0.9435214446523716,0.9280226197679343,0.9372960874132411,0.9216463102757997,0.9310285238252536,0.9162089237035421,0.9255298257220856,False,matched-support spatial distribution-shift sensitivity
Ming,H_STRUCT,identical reliable historical-prefecture population,0.930106588971318,0.9228096237494996,-0.007296965221818441,0.9056598926248638,0.8950599889317346,-0.010599903693129242,0.9255391013785013,0.9347629160508188,0.9182265291901281,0.9274455900521267,0.9004306597298145,0.9114684183937842,0.8895088120353359,0.9005776199975607,False,matched-support spatial distribution-shift sensitivity
Song,D5_MAIN,identical reliable historical-prefecture population,0.9182668927526338,0.8938114774017034,-0.02445541535093043,0.9601313522154914,0.9333611952755007,-0.02677015693999074,0.9129991245043547,0.9240059251714815,0.8871895167861217,0.9004617913106125,0.9572631352999414,0.9636583155296045,0.9279598045359033,0.9391780443802152,False,matched-support spatial distribution-shift sensitivity
Song,H_STRUCT,identical reliable historical-prefecture population,0.8727191351840721,0.8106538053593229,-0.062065329824749216,0.9299213905783774,0.8522202136326071,-0.07770117694577028,0.8657893915838633,0.8801342918797045,0.8017269571419994,0.820346055983281,0.9248392531736287,0.9357605535326963,0.8435790374513538,0.861153207103094,False,matched-support spatial distribution-shift sensitivity
