dynasty,semantic_category,n_people_with_category,all_cbdb_people_in_dynasty,entry_positive_people_in_dynasty,prevalence_among_all_cbdb_people,prevalence_among_entry_positive_people,nonexclusive_categories
Tang,exam_degree,1403,57477,1824,0.024409763905562223,0.7691885964912281,True
Tang,school_or_student_status,4,57477,1824,6.959305461314961e-05,0.0021929824561403508,True
Tang,recommendation,33,57477,1824,0.0005741427005584843,0.018092105263157895,True
Tang,hereditary_or_yin_privilege,80,57477,1824,0.001391861092262992,0.043859649122807015,True
Tang,military_entry,10,57477,1824,0.000173982636532874,0.005482456140350877,True
Tang,purchase_or_donation,0,57477,1824,0.0,0.0,True
Tang,direct_appointment,179,57477,1824,0.003114289193938445,0.0981359649122807,True
Tang,other_clear_entry,2,57477,1824,3.4796527306574805e-05,0.0010964912280701754,True
Tang,failed_entry,4,57477,1824,6.959305461314961e-05,0.0021929824561403508,True
Tang,ambiguous,142,57477,1824,0.002470553438766811,0.07785087719298246,True
Tang,unknown,0,57477,1824,0.0,0.0,True
Song,exam_degree,35887,83373,40247,0.430439110983172,0.8916689442691381,True
Song,school_or_student_status,425,83373,40247,0.005097573554987826,0.010559793276517505,True
Song,recommendation,196,83373,40247,0.002350880980653209,0.004869928193405719,True
Song,hereditary_or_yin_privilege,2105,83373,40247,0.025247981960586762,0.05230203493428082,True
Song,military_entry,185,83373,40247,0.0022189437827594065,0.004596615896837031,True
Song,purchase_or_donation,15,83373,40247,0.0001799143607642762,0.00037269858623002956,True
Song,direct_appointment,246,83373,40247,0.0029505955165341296,0.006112256814172485,True
Song,other_clear_entry,437,83373,40247,0.005241505043599247,0.010857952145501528,True
Song,failed_entry,246,83373,40247,0.0029505955165341296,0.006112256814172485,True
Song,ambiguous,1081,83373,40247,0.012965828265745506,0.026859144780977465,True
Song,unknown,3,83373,40247,3.598287215285524e-05,7.453971724600591e-05,True
Yuan,exam_degree,1027,25310,2331,0.040576847096009484,0.44058344058344057,True
Yuan,school_or_student_status,18,25310,2331,0.0007111813512445674,0.007722007722007722,True
Yuan,recommendation,346,25310,2331,0.013670485973923351,0.14843414843414843,True
Yuan,hereditary_or_yin_privilege,457,25310,2331,0.018056104306598184,0.19605319605319604,True
Yuan,military_entry,36,25310,2331,0.0014223627024891347,0.015444015444015444,True
Yuan,purchase_or_donation,5,25310,2331,0.00019755037534571315,0.002145002145002145,True
Yuan,direct_appointment,341,25310,2331,0.013472935598577637,0.1462891462891463,True
Yuan,other_clear_entry,19,25310,2331,0.00075069142631371,0.008151008151008152,True
Yuan,failed_entry,43,25310,2331,0.0016989332279731331,0.018447018447018446,True
Yuan,ambiguous,99,25310,2331,0.00391149743184512,0.04247104247104247,True
Yuan,unknown,0,25310,2331,0.0,0.0,True
Ming,exam_degree,34427,225403,44915,0.15273532295488526,0.7664922631637537,True
Ming,school_or_student_status,22817,225403,44915,0.10122757904730638,0.5080040075698542,True
Ming,recommendation,271,225403,44915,0.0012022910076618324,0.006033619058221085,True
Ming,hereditary_or_yin_privilege,1087,225403,44915,0.004822473525197091,0.024201269063787154,True
Ming,military_entry,25,225403,44915,0.00011091245458134986,0.0005566069241901369,True
Ming,purchase_or_donation,13,225403,44915,5.767447638230192e-05,0.0002894356005788712,True
Ming,direct_appointment,143,225403,44915,0.0006344192402053211,0.0031837916063675834,True
Ming,other_clear_entry,264,225403,44915,0.0011712355203790544,0.005877769119447846,True
Ming,failed_entry,14,225403,44915,6.211097456555591e-05,0.0003116998775464767,True
Ming,ambiguous,156,225403,44915,0.0006920937165876231,0.0034732272069464545,True
Ming,unknown,1,225403,44915,4.436498183253994e-06,2.2264276967605476e-05,True
Qing,exam_degree,70252,237423,129499,0.29589382663010744,0.5424906756036726,True
Qing,school_or_student_status,57173,237423,129499,0.2408064930524844,0.441493756708546,True
Qing,recommendation,91,237423,129499,0.0003832821588472894,0.0007027081290203013,True
Qing,hereditary_or_yin_privilege,701,237423,129499,0.002952536190680768,0.005413169213661881,True
Qing,military_entry,4631,237423,129499,0.019505271182657113,0.035760893906516655,True
Qing,purchase_or_donation,13,237423,129499,5.475459412104135e-05,0.00010038687557432876,True
Qing,direct_appointment,226,237423,129499,0.0009518875593350265,0.001745187221522946,True
Qing,other_clear_entry,8,237423,129499,3.369513484371775e-05,6.177653881497155e-05,True
Qing,failed_entry,20,237423,129499,8.423783710929439e-05,0.00015444134703742886,True
Qing,ambiguous,358,237423,129499,0.0015078572842563693,0.0027645001119699767,True
Qing,unknown,10,237423,129499,4.211891855464719e-05,7.722067351871443e-05,True
