has_entry,has_posting,n_people,fraction_all,fraction_within_entry_group
0,0,276858,0.4187686424936925,0.6285127935037015
0,1,163639,0.2475163509417295,0.3714872064962985
1,0,85255,0.1289546287837077,0.3864214262080344
1,1,135372,0.2047603777808701,0.6135785737919657
