model_id,population,feature_group,mean_abs_shap,signed_mean_shap,n_features,sample_n,group_share_of_total_abs_shap,rank
H_STRUCT,Global,personal_gender,0.7420646777104623,0.03101542133889,1,10000,0.1976440311622555,1
H_STRUCT,Global,family_topology,0.6341107332745664,-0.016934624708273,7,10000,0.1688912102841519,2
H_STRUCT,Global,historical_regime,0.6162132894135744,-0.0379202753866633,1,10000,0.1641243441895407,3
H_STRUCT,Global,administrative_geography,0.5970845483559388,0.0946495145428509,3,10000,0.1590295302100438,4
H_STRUCT,Global,family_observability,0.3258106489918745,-0.0621518221265485,5,10000,0.0867775168345502,5
H_STRUCT,Global,regional_density,0.2680590363777737,-0.0204748768666668,2,10000,0.0713957558290419,6
H_STRUCT,Global,continuous_geography,0.2477447065151518,-0.0206147346776929,3,10000,0.065985168093218,7
H_STRUCT,Global,personal_birth_cohort,0.2362414436446059,-0.004952842819452,2,10000,0.0629213499200252,8
H_STRUCT,Global,address_observability,0.0872223349859092,-0.0077492848342392,2,10000,0.0232310934771726,9
D5_MAIN,Global,personal_gender,0.8015003571184907,0.0337376200590827,1,10000,0.1946437447070033,1
D5_MAIN,Global,historical_regime,0.6484397110757837,-0.0623130294183825,1,10000,0.1574730846462477,2
D5_MAIN,Global,family_topology,0.5536806174193623,-0.038693399623418,7,10000,0.1344609117002027,3
D5_MAIN,Global,address_record_semantics,0.4625519681790921,-0.0535059193475837,1,10000,0.1123303893857941,4
D5_MAIN,Global,supervised_local_prior,0.3668507203383234,0.0401073259751173,1,10000,0.0890894150213792,5
D5_MAIN,Global,documentation_general,0.3204871428960416,0.007890592031259,6,10000,0.0778300559316056,6
D5_MAIN,Global,family_observability,0.3138080306712011,-0.0073516154149498,5,10000,0.0762080386695857,7
D5_MAIN,Global,personal_birth_cohort,0.2934771996021472,0.0137925155327373,2,10000,0.0712707119957548,8
D5_MAIN,Global,administrative_geography,0.1398593539172667,0.0026158461187589,3,10000,0.0339647364308465,9
D5_MAIN,Global,regional_density,0.101352832240643,-0.0018708882716489,2,10000,0.0246134572851637,10
D5_MAIN,Global,continuous_geography,0.0873640344823326,0.0249092494732125,3,10000,0.0212162885185577,11
D5_MAIN,Global,address_observability,0.0284092550058156,0.0012811680330802,2,10000,0.0068991657078583,12
D6_UPPER,Global,personal_gender,0.7540880391979686,0.0305364090961273,1,10000,0.1819928435955326,1
D6_UPPER,Global,historical_regime,0.6384840576111095,-0.0732474227472919,1,10000,0.1540927891637785,2
D6_UPPER,Global,family_topology,0.5499802505953514,-0.0129418663580652,7,10000,0.1327331352897306,3
D6_UPPER,Global,address_record_semantics,0.4841204127193387,-0.0714220167307394,1,10000,0.1168384140492977,4
D6_UPPER,Global,supervised_local_prior,0.363788247880472,0.08572287161391,1,10000,0.0877972521203489,5
D6_UPPER,Global,documentation_general,0.2959504765614685,0.0316427452921968,6,10000,0.0714251731802561,6
D6_UPPER,Global,personal_birth_cohort,0.2850929412741608,-0.0112216234359144,2,10000,0.0688047978146985,7
D6_UPPER,Global,family_observability,0.2665794414447905,-0.00586209805949,5,10000,0.0643367194157412,8
D6_UPPER,Global,continuous_geography,0.1474149816871184,0.0071741729029895,3,10000,0.0355773733453672,9
